timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704197906702,2138,Homepage,200,OK,Thread Group 1-2,text,true,,282666,302,10,10,https://www.simplilearn.com/,373,0,260
1704197906702,396,Homepage-0,301,Moved Permanently,Thread Group 1-2,text,true,,568,181,10,10,http://www.simplilearn.com/,373,0,260
1704197907104,1736,Homepage-1,200,OK,Thread Group 1-2,text,true,,282098,121,10,10,https://www.simplilearn.com/,1519,0,1415
1704197907345,1744,Homepage,200,OK,Thread Group 1-9,text,true,,282689,302,10,10,https://www.simplilearn.com/,334,0,104
1704197907345,334,Homepage-0,301,Moved Permanently,Thread Group 1-9,text,true,,568,181,10,10,http://www.simplilearn.com/,334,0,104
1704197907680,1409,Homepage-1,200,OK,Thread Group 1-9,text,true,,282121,121,10,10,https://www.simplilearn.com/,821,0,399
1704197907248,1841,Homepage,200,OK,Thread Group 1-8,text,true,,282678,302,10,10,https://www.simplilearn.com/,142,0,76
1704197907248,142,Homepage-0,301,Moved Permanently,Thread Group 1-8,text,true,,568,181,10,10,http://www.simplilearn.com/,142,0,76
1704197907391,1698,Homepage-1,200,OK,Thread Group 1-8,text,true,,282110,121,10,10,https://www.simplilearn.com/,1111,0,687
1704197906748,2345,Homepage,200,OK,Thread Group 1-3,text,true,,282711,302,10,10,https://www.simplilearn.com/,327,0,210
1704197906748,350,Homepage-0,301,Moved Permanently,Thread Group 1-3,text,true,,568,181,10,10,http://www.simplilearn.com/,327,0,210
1704197907104,1989,Homepage-1,200,OK,Thread Group 1-3,text,true,,282143,121,10,10,https://www.simplilearn.com/,1509,0,974
1704197907046,2101,Homepage,200,OK,Thread Group 1-6,text,true,,282681,302,10,10,https://www.simplilearn.com/,215,0,74
1704197907046,215,Homepage-0,301,Moved Permanently,Thread Group 1-6,text,true,,568,181,10,10,http://www.simplilearn.com/,215,0,74
1704197907262,1885,Homepage-1,200,OK,Thread Group 1-6,text,true,,282113,121,10,10,https://www.simplilearn.com/,1353,0,817
1704197907446,1706,Homepage,200,OK,Thread Group 1-10,text,true,,282824,302,10,10,https://www.simplilearn.com/,290,0,232
1704197907446,290,Homepage-0,301,Moved Permanently,Thread Group 1-10,text,true,,568,181,10,10,http://www.simplilearn.com/,290,0,232
1704197907738,1414,Homepage-1,200,OK,Thread Group 1-10,text,true,,282256,121,10,10,https://www.simplilearn.com/,664,0,340
1704197906701,2451,Homepage,200,OK,Thread Group 1-1,text,true,,282657,302,10,10,https://www.simplilearn.com/,373,0,260
1704197906701,396,Homepage-0,301,Moved Permanently,Thread Group 1-1,text,true,,568,181,10,10,http://www.simplilearn.com/,373,0,260
1704197907104,2048,Homepage-1,200,OK,Thread Group 1-1,text,true,,282089,121,10,10,https://www.simplilearn.com/,1571,0,975
1704197907146,2084,Homepage,200,OK,Thread Group 1-7,text,true,,282657,302,10,10,https://www.simplilearn.com/,180,0,118
1704197907146,180,Homepage-0,301,Moved Permanently,Thread Group 1-7,text,true,,568,181,10,10,http://www.simplilearn.com/,180,0,118
1704197907328,1902,Homepage-1,200,OK,Thread Group 1-7,text,true,,282089,121,10,10,https://www.simplilearn.com/,1436,0,1364
1704197906848,2424,Homepage,200,OK,Thread Group 1-4,text,true,,282666,302,10,10,https://www.simplilearn.com/,227,0,114
1704197906848,250,Homepage-0,301,Moved Permanently,Thread Group 1-4,text,true,,568,181,10,10,http://www.simplilearn.com/,227,0,114
1704197907104,2168,Homepage-1,200,OK,Thread Group 1-4,text,true,,282098,121,10,10,https://www.simplilearn.com/,1836,0,1738
1704197906947,2339,Homepage,200,OK,Thread Group 1-5,text,true,,282658,302,10,10,https://www.simplilearn.com/,174,0,113
1704197906947,174,Homepage-0,301,Moved Permanently,Thread Group 1-5,text,true,,568,181,10,10,http://www.simplilearn.com/,174,0,113
1704197907122,2164,Homepage-1,200,OK,Thread Group 1-5,text,true,,282090,121,10,10,https://www.simplilearn.com/,1884,0,1721
1704197908853,1236,Resource,200,OK,Thread Group 1-2,text,true,,234537,392,10,10,https://www.simplilearn.com/resources,74,0,0
1704197908853,74,Resource-0,301,Moved Permanently,Thread Group 1-2,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,74,0,0
1704197908928,306,Resource-1,301,Moved Permanently,Thread Group 1-2,text,true,,441,131,10,10,https://www.simplilearn.com/resources/,306,0,0
1704197909234,855,Resource-2,200,OK,Thread Group 1-2,text,true,,233518,130,10,10,https://www.simplilearn.com/resources,395,0,0
1704197909149,1012,Resource,200,OK,Thread Group 1-6,text,true,,234559,392,10,10,https://www.simplilearn.com/resources,61,0,0
1704197909149,61,Resource-0,301,Moved Permanently,Thread Group 1-6,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,61,0,0
1704197909211,71,Resource-1,301,Moved Permanently,Thread Group 1-6,text,true,,440,131,10,10,https://www.simplilearn.com/resources/,71,0,0
1704197909282,879,Resource-2,200,OK,Thread Group 1-6,text,true,,233541,130,10,10,https://www.simplilearn.com/resources,546,0,0
1704197909090,1094,Resource,200,OK,Thread Group 1-9,text,true,,234514,392,10,10,https://www.simplilearn.com/resources,68,0,0
1704197909090,68,Resource-0,301,Moved Permanently,Thread Group 1-9,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,68,0,0
1704197909158,806,Resource-1,301,Moved Permanently,Thread Group 1-9,text,true,,441,131,10,10,https://www.simplilearn.com/resources/,806,0,0
1704197909965,219,Resource-2,200,OK,Thread Group 1-9,text,true,,233495,130,10,10,https://www.simplilearn.com/resources,79,0,0
1704197909093,1239,Resource,200,OK,Thread Group 1-3,text,true,,234351,392,10,10,https://www.simplilearn.com/resources,65,0,0
1704197909093,65,Resource-0,301,Moved Permanently,Thread Group 1-3,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,65,0,0
1704197909159,1016,Resource-1,301,Moved Permanently,Thread Group 1-3,text,true,,441,131,10,10,https://www.simplilearn.com/resources/,1016,0,0
